,,,PHLX LISTED OPTIONS,,

,,,As of 03/22/2016,,

Number of Issues - ,3763,,
,,Option,Stock,,Primary,Single,Primary,Secondary
"DST SYSTEMS INC",FEB,DST,DST,"Citadel Securities LLC","NYSE","N",DST,
"DSW INC.",JAN,DSW,DSW,"Citadel Securities LLC","NYSE","N",DSW,
"DTS INC",MAR,DTSI,DTSI,"Wolverine Trading, LLC","NASDAQ","N",DTSI,
"DU PONT E I DE NEM",JAN,DD,DD,"Citigroup Derivatives Markets Inc.","NYSE","N",DD,
"DU PONT E I DE NEM(ADJ)",,DD1,DD1,"Citigroup Derivatives Markets Inc.","NYSE","N",DD,"CC"
"DUCOMMUN INC",MAR,DCO,DCO,"Susquehanna Securities","NYSE","N",DCO,
"DUKE ENERGY CP HL CO",JAN,DUK,DUK,"Citadel Securities LLC","NYSE","N",DUK,
"DUKE REALTY CP",MAR,DRE,DRE,"Citadel Securities LLC","NYSE","N",DRE,
"DULUTH HLDG CL B CM",FEB,DLTH,DLTH,"Citadel Securities LLC","NASDAQ","N",DLTH,
"DUNKIN' BRANDS GROUP",MAR,DNKN,DNKN,"Citadel Securities LLC","NASDAQ","N",DNKN,
"DUPONT FABROS TECH",JAN,DFT,DFT,"Citadel Securities LLC","NYSE","N",DFT,
"DURECT CORPORATION",JAN,DRRX,DRRX,"Susquehanna Securities","NASDAQ","N",DRRX,
"DX JR MNR BULL 3X",MAR,JNUG,JNUG,"Citadel Securities LLC","NYSE ARCA","N",JNUG,
"DXN DLY GLDMNR NDX 3",MAR,NUGT,NUGT,"Citadel Securities LLC","NYSE ARCA","N",NUGT,
"DXN DLY GLDMNR NDX B",MAR,DUST,DUST,"Citadel Securities LLC","NYSE ARCA","N",DUST,
"DXN DLY NAT GAS 3X B",MAR,GASL,GASL,"Citadel Securities LLC","NYSE ARCA","N",GASL,
"DXN DLY RSSA BEAR 3X",MAR,RUSS,RUSS,"Wolverine Trading, LLC","NYSE ARCA","N",RUSS,
"DXN DLY RSSA BULL 3X",MAR,RUSL,RUSL,"Wolverine Trading, LLC","NYSE ARCA","N",RUSL,
"DXN DLY SCOND 3X BL",FEB,SOXL,SOXL,"Citadel Securities LLC","NYSE ARCA","N",SOXL,
"DXN DLY SCOND 3X BR",FEB,SOXS,SOXS,"Citadel Securities LLC","NYSE ARCA","N",SOXS,
"DXN NDX EQL WGT",MAR,QQQE,QQQE,"Wolverine Trading, LLC","NYSE ARCA","N",QQQE,
"DXP ENTERPRISE",FEB,DXPE,DXPE,"Susquehanna Securities","NASDAQ","N",DXPE,
"DYCOM INDS INC",MAR,DY,DY,"Citadel Securities LLC","NYSE","N",DY,
"DYNAGAS LNG PARTNERS",JAN,DLNG,DLNG,"Wolverine Trading, LLC","NYSE","N",DLNG,
"DYNAMIC MATERIALS",MAR,BOOM,BOOM,"Citadel Securities LLC","NASDAQ","N",BOOM,
"DYNAVAX TECHNOLOGIES",JAN,DVAX,DVAX,"Susquehanna Securities","NASDAQ","N",DVAX,
"DYNEGY INC.",MAR,DYN,DYN,"Wolverine Trading, LLC","NYSE","N",DYN,
"DYNEX CPTL INC",MAR,DX,DX,"Wolverine Trading, LLC","NYSE","N",DX,
"E M C CP",JAN,EMC,EMC,"Timber Hill LLC","NYSE","N",EMC,
"E M C INSURANCE GP",MAR,EMCI,EMCI,"Wolverine Trading, LLC","NASDAQ","N",EMCI,
"E M C O R GROUP INC",JAN,EME,EME,"Citadel Securities LLC","NYSE","N",EME,
"E N I SPA ADR",FEB,E,E,"Susquehanna Securities","NYSE","N",E,
"E W SCRIPPS CL A",MAR,SSP,SSP,"Citadel Securities LLC","NYSE","N",SSP,
"E*TRADE FINL CORP",JAN,ETFC,ETFC,"Susquehanna Securities","NASDAQ","N",ETFC,
"E-COMMERCE CHINA",MAR,DANG,DANG,"Citadel Securities LLC","NYSE","N",DANG,
"E-HOUSE HOLDINGS ADR",FEB,EJ,EJ,"Citadel Securities LLC","NYSE","N",EJ,
"E-HOUSE HOLDINGS ADR(ADJ)",,EJ1,EJ1,"Citadel Securities LLC","NYSE","N",EJ,"LEJU"
"EAGLE BANCORP INC",MAR,EGBN,EGBN,"Susquehanna Securities","NASDAQ","N",EGBN,
"EAGLE MATERIALS INC",JAN,EXP,EXP,"Citadel Securities LLC","NYSE","N",EXP,
"EAGLE PHARMACEUTICAL",MAR,EGRX,EGRX,"Morgan Stanley & Co. LLC","NASDAQ","N",EGRX,
"EARTHLINK HLDS CMN",JAN,ELNK,ELNK,"Citadel Securities LLC","NASDAQ","N",ELNK,
"EAST WEST BANCORP",JAN,EWBC,EWBC,"Citadel Securities LLC","NASDAQ","N",EWBC,
"EASTGROUP PROPERTIES",MAR,EGP,EGP,"Susquehanna Securities","NYSE","Y",EGP,
"EASTMAN CHEM CO",MAR,EMN,EMN,"Citadel Securities LLC","NYSE","N",EMN,
"EASTMAN KODAK",JAN,KODK,KODK,"Citadel Securities LLC","NYSE","N",KODK,
"EATON CP PLC",JAN,ETN,ETN,"Citadel Securities LLC","NYSE","N",ETN,
"EATON VANCE CP",FEB,EV,EV,"Citadel Securities LLC","NYSE","N",EV,
"EBAY INC.",JAN,EBAY,EBAY,"Timber Hill LLC","NASDAQ","N",EBAY,
"EBAY INC.(ADJ)",,EBAY1,EBAY1,"Timber Hill LLC","NASDAQ","N",EBAY,"PYPL"
"EBIX INC",MAR,EBIX,EBIX,"Citadel Securities LLC","NASDAQ","N",EBIX,
"ECA MARCELLUS TRST I",MAR,ECT,ECT,"Wolverine Trading, LLC","NYSE","N",ECT,
"ECHELON CORPORATION",,ELON,ELON,"Susquehanna Securities","NASDAQ","N",ELON,
"ECHO GLOBAL LOGISTIC",MAR,ECHO,ECHO,"Wolverine Trading, LLC","NASDAQ","N",ECHO,
"ECHOSTAR CORP",JAN,SATS,SATS,"Citadel Securities LLC","NASDAQ","N",SATS,
"ECLIPSE RESOURCES CP",JAN,ECR,ECR,"Susquehanna Securities","NYSE","N",ECR,
"ECOLAB INC",JAN,ECL,ECL,"Citadel Securities LLC","NYSE","N",ECL,
"ECOPETROL SA",FEB,EC,EC,"Wolverine Trading, LLC","NYSE","N",EC,
"EDAP TMS SA ADR",FEB,EDAP,EDAP,"Susquehanna Securities","NASDAQ","N",EDAP,
"EDGEWELL PERSONAL",FEB,EPC,EPC,"Citadel Securities LLC","NYSE","N",EPC,
"EDISON INTL",JAN,EIX,EIX,"Timber Hill LLC","NYSE","N",EIX,
"EDUCATION RLTY TRUST",JAN,EDR,EDR,"Wolverine Trading, LLC","NYSE","N",EDR,
"EDWARDS LIFESCIENCES",FEB,EW,EW,"Citadel Securities LLC","NYSE","N",EW,
"EGAIN CORPORATION",FEB,EGAN,EGAN,"Susquehanna Securities","NASDAQ","N",EGAN,
"EHEALTH, INC.",FEB,EHTH,EHTH,"Citadel Securities LLC","NASDAQ","N",EHTH,
"EL PASO ELECTRIC CO",MAR,EE,EE,"Citadel Securities LLC","NYSE","N",EE,
"EL POLLO LOCO CMN",MAR,LOCO,LOCO,"Citadel Securities LLC","NASDAQ","N",LOCO,
"ELDORADO GOLD CORP",JAN,EGO,EGO,"Citadel Securities LLC","NYSE","N",EGO,
"ELEC IMAGING INC",JAN,EFII,EFII,"Citadel Securities LLC","NASDAQ","N",EFII,
"ELECTRO RENT CP",JAN,ELRC,ELRC,"Wolverine Trading, LLC","NASDAQ","N",ELRC,
"ELECTRO SCI INDS",MAR,ESIO,ESIO,"Morgan Stanley & Co. LLC","NASDAQ","N",ESIO,
"ELECTRONIC ARTS INC",MAR,EA,EA,"Timber Hill LLC","NASDAQ","N",EA,
"ELIZABETH ARDEN",MAR,RDEN,RDEN,"Susquehanna Securities","NASDAQ","N",RDEN,
"ELLIE MAE, INC.",JAN,ELLI,ELLI,"Susquehanna Securities","NYSE","N",ELLI,
"ELLINGTON FINL LLC",JAN,EFC,EFC,"Wolverine Trading, LLC","NYSE","N",EFC,
"EMAGIN CORP",MAR,EMAN,EMAN,"Susquehanna Securities","NYSE MKT","N",EMAN,
"EMBRAER S.A. COMMON",JAN,ERJ,ERJ,"Wolverine Trading, LLC","NYSE","N",ERJ,
"EMCORE CORP",MAR,EMKR,EMKR,"Citadel Securities LLC","NASDAQ","N",EMKR,
"EMERGE ENERGY SVCS",MAR,EMES,EMES,"Wolverine Trading, LLC","NYSE","N",EMES,
"EMERGENT BIOSOLUTION",MAR,EBS,EBS,"Citadel Securities LLC","NYSE","N",EBS,
"EMERGENT CAPITAL INC",MAR,EMG,EMG,"Wolverine Trading, LLC","NYSE","N",EMG,
"EMERGING MKTS BEAR3X",JAN,EDZ,EDZ,"Citadel Securities LLC","NYSE ARCA","N",EDZ,
"EMERGING MKTS BULL3X",JAN,EDC,EDC,"Citadel Securities LLC","NYSE ARCA","N",EDC,
"EMERSON ELEC CO",MAR,EMR,EMR,"Citadel Securities LLC","NYSE","N",EMR,
"EMPIRE DISTRICT ELCT",MAR,EDE,EDE,"Susquehanna Securities","NYSE","N",EDE,
"EMPIRE RESORTS INC",,NYNY,NYNY,"Susquehanna Securities","NASDAQ","N",NYNY,
"EMPIRE STATE REALTY",MAR,ESRT,ESRT,"Citadel Securities LLC","NYSE","N",ESRT,
"EMPLOYERS HOLDINGS I",JAN,EIG,EIG,"Wolverine Trading, LLC","NYSE","N",EIG,
"EMPRESA NATL ELECTRI",MAR,EOC,EOC,"Wolverine Trading, LLC","NYSE","N",EOC,
"ENABLE MIDSTREAM PRT",FEB,ENBL,ENBL,"Citadel Securities LLC","NYSE","N",ENBL,
"ENANTA PHARMACEUTICA",JAN,ENTA,ENTA,"Susquehanna Securities","NASDAQ","N",ENTA,
"ENBRIDGE EGY PT LP",JAN,EEP,EEP,"Citadel Securities LLC","NYSE","N",EEP,
"ENBRIDGE ENERGY MGMT",FEB,EEQ,EEQ,"Susquehanna Securities","NYSE","N",EEQ,
"ENBRIDGE INC",JAN,ENB,ENB,"Susquehanna Securities","NYSE","N",ENB,
"ENCANA CORP",JAN,ECA,ECA,"Citigroup Derivatives Markets Inc.","NYSE","N",ECA,
"ENCORE CAPITAL GRP",MAR,ECPG,ECPG,"Wolverine Trading, LLC","NASDAQ","N",ECPG,
"ENCORE WIRE CP",FEB,WIRE,WIRE,"Citadel Securities LLC","NASDAQ","N",WIRE,
"ENDEAVOUR SILVER COR",FEB,EXK,EXK,"Susquehanna Securities","NYSE","N",EXK,
"ENDO INT'L PLC",JAN,ENDP,ENDP,"Citadel Securities LLC","NASDAQ","N",ENDP,
"ENDOCYTE, INC",JAN,ECYT,ECYT,"Susquehanna Securities","NASDAQ","N",ECYT,
"ENDOLOGIX INC",FEB,ELGX,ELGX,"Susquehanna Securities","NASDAQ","N",ELGX,
"ENDURANCE INT GRP",FEB,EIGI,EIGI,"Wolverine Trading, LLC","NASDAQ","N",EIGI,
"ENDURANCE SPLTY HLD",JAN,ENH,ENH,"Wolverine Trading, LLC","NYSE","N",ENH,
"ENDURO ROYALTY TRUST",JAN,NDRO,NDRO,"Wolverine Trading, LLC","NYSE","N",NDRO,
"ENERGEN CP",JAN,EGN,EGN,"Citadel Securities LLC","NYSE","N",EGN,
"ENERGIZER HLDS INC",FEB,ENR,ENR,"Citadel Securities LLC","NYSE ARCA","N",ENR,
"ENERGOUS CORP CMN",FEB,WATT,WATT,"Susquehanna Securities","NASDAQ","N",WATT,
"ENERGY BULL 3X",JAN,ERX,ERX,"Citadel Securities LLC","NYSE ARCA","N",ERX,
"ENERGY DAILY BEAR 3X",JAN,ERY,ERY,"Citadel Securities LLC","NYSE ARCA","N",ERY,
"ENERGY FUELS INC",JAN,UUUU,UUUU,"Wolverine Trading, LLC","NYSE MKT","N",UUUU,
"ENERGY RECOVERY, INC",FEB,ERII,ERII,"Group One Trading, L.P.","NASDAQ","N",ERII,
"ENERGY SELECT SPDR",,XLE,XLE,"Susquehanna Securities","NYSE ARCA","N",XLE,
"ENERGY TRANSFER PRNT",MAR,ETP,ETP,"Citadel Securities LLC","NYSE","N",ETP,
"ENERGY XXI LTD",MAR,EXXI,EXXI,"Susquehanna Securities","NASDAQ","N",EXXI,
"ENERNOC, INC.",MAR,ENOC,ENOC,"Group One Trading, L.P.","NASDAQ","N",ENOC,
"ENERPLUS CORP",JAN,ERF,ERF,"Citadel Securities LLC","NYSE","N",ERF,
"ENERSIS AMERICAS S A",JAN,ENI,ENI,"Susquehanna Securities","NYSE","N",ENI,
"ENERSYS",MAR,ENS,ENS,"Morgan Stanley & Co. LLC","NYSE","N",ENS,
"ENGLOBAL CORP",MAR,ENG,ENG,"Susquehanna Securities","NASDAQ","N",ENG,
"ENLINK MIDSTREAM LLC",MAR,ENLC,ENLC,"Citadel Securities LLC","NYSE","N",ENLC,
"ENLINK MIDSTREAM PRT",FEB,ENLK,ENLK,"Susquehanna Securities","NYSE","N",ENLK,
"ENNIS, INC.",JAN,EBF,EBF,"Wolverine Trading, LLC","NYSE","Y",EBF,
"ENOVA INT'L INC",MAR,ENVA,ENVA,"Citadel Securities LLC","NYSE","N",ENVA,
"ENPHASE ENERGY, INC.",FEB,ENPH,ENPH,"Susquehanna Securities","NASDAQ","N",ENPH,
"ENPRO INDUSTRIES INC",MAR,NPO,NPO,"Wolverine Trading, LLC","NYSE","N",NPO,
"ENRGY TRANSFER EQ LP",JAN,ETE,ETE,"Citadel Securities LLC","NYSE","N",ETE,
"ENSCO PLC",MAR,ESV,ESV,"Timber Hill LLC","NYSE","N",ESV,
"ENTEGRIS INC",FEB,ENTG,ENTG,"Wolverine Trading, LLC","NASDAQ","N",ENTG,
"ENTERCOM COMMUN CP",MAR,ETM,ETM,"Susquehanna Securities","NYSE","N",ETM,
"ENTERGY CP",MAR,ETR,ETR,"Timber Hill LLC","NYSE","N",ETR,
"ENTERPRISE PT UTS",MAR,EPD,EPD,"Citadel Securities LLC","NYSE","N",EPD,
"ENTERPRISES FINL SVC",MAR,EFSC,EFSC,"Citadel Securities LLC","NASDAQ","N",EFSC,
"ENTRAVISION COMM CP",JAN,EVC,EVC,"Wolverine Trading, LLC","NYSE","N",EVC,
"ENVESTNET, INC",FEB,ENV,ENV,"Morgan Stanley & Co. LLC","NYSE","N",ENV,
"ENVISION HEALTHCARE",JAN,EVHC,EVHC,"Citadel Securities LLC","NYSE","N",EVHC,
"ENZO BIOCHEM INC",JAN,ENZ,ENZ,"Susquehanna Securities","NYSE","N",ENZ,
"ENZON PHARMA, INC",FEB,ENZN,ENZN,"Citadel Securities LLC","NASDAQ","N",ENZN,
"EOG RESOURCES INC",JAN,EOG,EOG,"Citadel Securities LLC","NYSE","N",EOG,
"EP ENERGY CORP.",FEB,EPE,EPE,"Citadel Securities LLC","NYSE","N",EPE,
"EPAM SYSTEMS, INC.",JAN,EPAM,EPAM,"Wolverine Trading, LLC","NYSE","N",EPAM,
"EPIZYME, INC CMN STK",FEB,EPZM,EPZM,"Susquehanna Securities","NASDAQ","N",EPZM,
"EPR PROPERTIES",JAN,EPR,EPR,"Citadel Securities LLC","NYSE","N",EPR,
"EQT CORPORATION",MAR,EQT,EQT,"Citadel Securities LLC","NYSE","N",EQT,
"EQT MIDSTREAM PRTNRS",JAN,EQM,EQM,"Citadel Securities LLC","NYSE","N",EQM,
"EQUIFAX INC",JAN,EFX,EFX,"Citadel Securities LLC","NYSE","N",EFX,
"EQUITY COMMONWEALTH",JAN,EQC,EQC,"Citadel Securities LLC","NYSE","N",EQC,
"EQUITY LIFESTYLE PRP",FEB,ELS,ELS,"Wolverine Trading, LLC","NYSE","N",ELS,
"EQUITY ONE INC",MAR,EQY,EQY,"Susquehanna Securities","NYSE","N",EQY,
"EQUITY RESIDENTAL",JAN,EQR,EQR,"Timber Hill LLC","NYSE","N",EQR,
"ERA GROUP INC.",MAR,ERA,ERA,"Susquehanna Securities","NYSE","N",ERA,
"ERICSSON ADR",JAN,ERIC,ERIC,"Timber Hill LLC","NASDAQ","N",ERIC,
"EROS INT'L PLC",MAR,EROS,EROS,"Citadel Securities LLC","NYSE","N",EROS,
"ESCALADE INC",JAN,ESCA,ESCA,"Wolverine Trading, LLC","NASDAQ","N",ESCA,
"ESCO TECH INC",MAR,ESE,ESE,"Wolverine Trading, LLC","NYSE","N",ESE,
"ESPERION THERAPTC CM",MAR,ESPR,ESPR,"Citadel Securities LLC","NASDAQ","N",ESPR,
"ESSENDANT INC.",MAR,ESND,ESND,"Susquehanna Securities","NASDAQ","Y",ESND,
"ESSENT GROUP LTD",JAN,ESNT,ESNT,"Citadel Securities LLC","NYSE","N",ESNT,
"ESSEX PRTY TR INC",JAN,ESS,ESS,"Susquehanna Securities","NYSE","N",ESS,
"ESTEE LAUDER COS INC",JAN,EL,EL,"Citadel Securities LLC","NYSE","N",EL,
"ESTERLINE TECH CP",FEB,ESL,ESL,"Susquehanna Securities","NYSE","N",ESL,
"ETFS GOLD TRUST",MAR,SGOL,SGOL,"Citadel Securities LLC","NYSE ARCA","N",SGOL,
"ETHAN ALLEN INTERIOR",FEB,ETH,ETH,"Citadel Securities LLC","NYSE","N",ETH,
"ETSY INC COMMON STK",MAR,ETSY,ETSY,"Citadel Securities LLC","NASDAQ","N",ETSY,
"EURONET WORLDWIDE",FEB,EEFT,EEFT,"Susquehanna Securities","NASDAQ","N",EEFT,
"EV ENERGY PARTNERS",MAR,EVEP,EVEP,"Citadel Securities LLC","NASDAQ","N",EVEP,
"EVERBANK FINL CORP.",MAR,EVER,EVER,"Wolverine Trading, LLC","NYSE","N",EVER,
"EVERCORE PARTNERS IN",MAR,EVR,EVR,"Susquehanna Securities","NYSE","N",EVR,
"EVEREST RE GRP LTD",JAN,RE,RE,"Citadel Securities LLC","NYSE","N",RE,
"EVERI HOLDINGS INC.",MAR,EVRI,EVRI,"Susquehanna Securities","NYSE","N",EVRI,
"EVERSOURCE ENERGY",JAN,ES,ES,"Susquehanna Securities","NYSE","N",ES,
"EVERTEC, INC.",FEB,EVTC,EVTC,"Susquehanna Securities","NYSE","N",EVTC,
"EVINE LIVE CL A",JAN,EVLV,EVLV,"Wolverine Trading, LLC","NASDAQ","N",EVLV,
"EVOLUTION PTRLM CORP",JAN,EPM,EPM,"Susquehanna Securities","NYSE MKT","N",EPM,
"EVOLVING SYSTEMS INC",MAR,EVOL,EVOL,"Wolverine Trading, LLC","NASDAQ","N",EVOL,
"EXACT SCIENCES COR",JAN,EXAS,EXAS,"Group One Trading, L.P.","NASDAQ","N",EXAS,
"EXACTECH INC",MAR,EXAC,EXAC,"Citadel Securities LLC","NASDAQ","N",EXAC,
"EXAMWORKS GROUP, INC",MAR,EXAM,EXAM,"Susquehanna Securities","NYSE","N",EXAM,
"EXAR CP",JAN,EXAR,EXAR,"Susquehanna Securities","NYSE","N",EXAR,
"EXCO RESOURCES INC",MAR,XCO,XCO,"Citadel Securities LLC","NYSE","N",XCO,
"EXELIXIS, INC.",FEB,EXEL,EXEL,"Citadel Securities LLC","NASDAQ","N",EXEL,
"EXELON CORPORATION",JAN,EXC,EXC,"Citadel Securities LLC","NYSE","N",EXC,
"EXETER RESOURCE CORP",FEB,XRA,XRA,"Citadel Securities LLC","NYSE MKT","N",XRA,
"EXLSERVICE HOLDINGS,",JAN,EXLS,EXLS,"Wolverine Trading, LLC","NASDAQ","N",EXLS,
"EXPEDIA, INC.",JAN,EXPE,EXPE,"Citigroup Derivatives Markets Inc.","NASDAQ","N",EXPE,
"EXPEDITORS INTL",FEB,EXPD,EXPD,"Citadel Securities LLC","NASDAQ","N",EXPD,
"EXPONENT INC",MAR,EXPO,EXPO,"Susquehanna Securities","NASDAQ","N",EXPO,
"EXPRESS SCRIPTS",FEB,ESRX,ESRX,"Timber Hill LLC","NASDAQ","N",ESRX,
"EXPRESS, INC.",JAN,EXPR,EXPR,"Citadel Securities LLC","NYSE","N",EXPR,
"EXTENDED STAY AMERCA",JAN,STAY,STAY,"Wolverine Trading, LLC","NYSE","N",STAY,
"EXTERRAN CORP.",FEB,EXTN,EXTN,"Citadel Securities LLC","NYSE","N",EXTN,
"EXTRA SPACE STORAGE",MAR,EXR,EXR,"Susquehanna Securities","NYSE","N",EXR,
"EXTREME NETWORKS",MAR,EXTR,EXTR,"Citadel Securities LLC","NASDAQ","N",EXTR,
"EXXON MOBIL CP",JAN,XOM,XOM,"Citadel Securities LLC","NYSE","N",XOM,
"EZCORP, INC.",MAR,EZPW,EZPW,"Citadel Securities LLC","NASDAQ","N",EZPW,
"F E I COMPANY",MAR,FEIC,FEIC,"Citadel Securities LLC","NASDAQ","N",FEIC,
"F M C CP",JAN,FMC,FMC,"Citadel Securities LLC","NYSE","N",FMC,
"F N B CP",FEB,FNB,FNB,"Susquehanna Securities","NYSE","N",FNB,
"F5 NETWORKS, INC.",JAN,FFIV,FFIV,"Citigroup Derivatives Markets Inc.","NASDAQ","N",FFIV,
"FABRINET",JAN,FN,FN,"Wolverine Trading, LLC","NYSE","N",FN,
"FACEBOOK INC",MAR,FB,FB,"Citadel Securities LLC","NASDAQ","N",FB,
"FACTSET RESEARCH SYS",MAR,FDS,FDS,"Citadel Securities LLC","NYSE","N",FDS,
"FAIR ISAAC CP",JAN,FICO,FICO,"Citadel Securities LLC","NYSE","N",FICO,
"FAIRCHILD SEMI CMN",FEB,FCS,FCS,"Citadel Securities LLC","NASDAQ","N",FCS,
"FAIRMOUNT SANTROL",MAR,FMSA,FMSA,"Citadel Securities LLC","NYSE","N",FMSA,
"FAIRPOINT COMMUNICAT",JAN,FRP,FRP,"Susquehanna Securities","NASDAQ","N",FRP,
"FAIRWAY GP HLD CL A",MAR,FWM,FWM,"Morgan Stanley & Co. LLC","NASDAQ","N",FWM,
"FALCONSTOR SFTWR",FEB,FALC,FALC,"Susquehanna Securities","NASDAQ","N",FALC,
"FARO TECH INC",MAR,FARO,FARO,"Citadel Securities LLC","NASDAQ","N",FARO,
"FASTENAL CO",FEB,FAST,FAST,"Timber Hill LLC","NASDAQ","N",FAST,
"FBL FINANCIAL GROUP",JAN,FFG,FFG,"Wolverine Trading, LLC","NYSE","N",FFG,
"FED AGRICUL MTG C",FEB,AGM,AGM,"Citadel Securities LLC","NYSE","N",AGM,
"FEDERAL RLTY INV TR",FEB,FRT,FRT,"Citadel Securities LLC","NYSE","N",FRT,
"FEDERAL SIGNAL CP",FEB,FSS,FSS,"Wolverine Trading, LLC","NYSE","N",FSS,
"FEDERAL-MOGUL HD CM",JAN,FDML,FDML,"Wolverine Trading, LLC","NASDAQ","N",FDML,
"FEDERATED INV INC",JAN,FII,FII,"Wolverine Trading, LLC","NYSE","N",FII,
"FEDEX CORP",JAN,FDX,FDX,"Timber Hill LLC","NYSE","N",FDX,
"FELCOR LODGING TR",JAN,FCH,FCH,"Citadel Securities LLC","NYSE","N",FCH,
"FEMALE HEALTH CO",JAN,FHCO,FHCO,"Susquehanna Securities","NASDAQ","N",FHCO,
"FERRARI N.V.",JAN,RACE,RACE,"Susquehanna Securities","NYSE","N",RACE,
"FERRELLGAS PARTNERS",FEB,FGP,FGP,"Group One Trading, L.P.","NYSE","N",FGP,
"FERRO CP",JAN,FOE,FOE,"Susquehanna Securities","NYSE","N",FOE,
"FERROGLOBE PLC OS",MAR,GSM,GSM,"Susquehanna Securities","NASDAQ","N",GSM,
"FIAT CHRYSLER AUTO N",MAR,FCAU,FCAU,"Susquehanna Securities","NYSE","N",FCAU,
"FIAT CHRYSLER AUTO N(ADJ)",,FCAU1,FCAU1,"Susquehanna Securities","NYSE","N",FCAU,"RACE"
"FIBRIA CELULOSE SA",MAR,FBR,FBR,"Citadel Securities LLC","NYSE","N",FBR,
"FIBROCELL SCIENCE CM",FEB,FCSC,FCSC,"Citadel Securities LLC","NASDAQ","N",FCSC,
"FIBROGEN INC CS",MAR,FGEN,FGEN,"Citadel Securities LLC","NASDAQ","N",FGEN,
"FIDELITY MATRLS ETF",MAR,FMAT,FMAT,"Susquehanna Securities","NYSE ARCA","N",FMAT,
"FIDELITY NAT INF SVC",JAN,FIS,FIS,"Citadel Securities LLC","NYSE","N",FIS,
"FIDELITY SOUTHERN CP",FEB,LION,LION,"Citadel Securities LLC","NASDAQ","N",LION,
"FIDUS INVESTMENT COR",MAR,FDUS,FDUS,"Susquehanna Securities","NASDAQ","N",FDUS,
"FIESTA RESTAURANT GP",MAR,FRGI,FRGI,"Susquehanna Securities","NASDAQ","N",FRGI,
"FIFTH STREET FINANCE",FEB,FSC,FSC,"Susquehanna Securities","NASDAQ","N",FSC,
"FIFTH THIRD BNCP",FEB,FITB,FITB,"Timber Hill LLC","NASDAQ","N",FITB,
"FINANCIAL BEAR 3XNEW",JAN,FAZ,FAZ,"Citadel Securities LLC","NYSE ARCA","N",FAZ,
"FINANCIAL BULL 3XNEW",JAN,FAS,FAS,"Morgan Stanley & Co. LLC","NYSE ARCA","N",FAS,
"FINANCIAL ENGINES CM",MAR,FNGN,FNGN,"Citadel Securities LLC","NASDAQ","N",FNGN,
"FINANCIAL SEL SPDR",,XLF,XLF,"Susquehanna Securities","NYSE ARCA","N",XLF,
"FINANCIAL SVCS SPDR",FEB,XLFS,XLFS,"Wolverine Trading, LLC","NYSE ARCA","N",XLFS,
"FINISAR CORP",MAR,FNSR,FNSR,"Susquehanna Securities","NASDAQ","N",FNSR,
"FINISH LINE CL A",FEB,FINL,FINL,"Timber Hill LLC","NASDAQ","N",FINL,
"FIREEYE, INC.",MAR,FEYE,FEYE,"Susquehanna Securities","NASDAQ","N",FEYE,
"FIRST AMER CORP NEW",JAN,FAF,FAF,"Citadel Securities LLC","NYSE","N",FAF,
"FIRST BANCORP (NC)",MAR,FBNC,FBNC,"Wolverine Trading, LLC","NASDAQ","N",FBNC,
"FIRST BANCORP NEW",MAR,FBP,FBP,"Citadel Securities LLC","NYSE","N",FBP,
"FIRST BUSEY CORP",FEB,BUSE,BUSE,"Susquehanna Securities","NASDAQ","Y",BUSE,
"FIRST BUSINESS FINAN",MAR,FBIZ,FBIZ,"Wolverine Trading, LLC","NASDAQ","N",FBIZ,
"FIRST CASH FIN SVCS",MAR,FCFS,FCFS,"Citadel Securities LLC","NASDAQ","N",FCFS,
"FIRST COMMONWLTH FIN",JAN,FCF,FCF,"Susquehanna Securities","NYSE","N",FCF,
"FIRST DATA CORP",JAN,FDC,FDC,"Wolverine Trading, LLC","NYSE","N",FDC,
"FIRST FINANCIAL NORT",MAR,FFNW,FFNW,"Susquehanna Securities","NASDAQ","N",FFNW,
"FIRST FINL BKSHS INC",JAN,FFIN,FFIN,"Susquehanna Securities","NASDAQ","N",FFIN,
"FIRST FINL BNCP (OH)",FEB,FFBC,FFBC,"Wolverine Trading, LLC","NASDAQ","N",FFBC,
"FIRST HORIZON NTL CP",FEB,FHN,FHN,"Citadel Securities LLC","NYSE","N",FHN,
"FIRST IND RLTY INC",MAR,FR,FR,"Susquehanna Securities","NYSE","N",FR,
"FIRST INTERSTATE BAN",MAR,FIBK,FIBK,"Citadel Securities LLC","NASDAQ","N",FIBK,
"FIRST MAJESTIC SILVE",JAN,AG,AG,"Susquehanna Securities","NYSE","N",AG,
"FIRST MARBLEHEAD CP",MAR,FMD,FMD,"Susquehanna Securities","NYSE","N",FMD,
"FIRST MERCHANTS CORP",MAR,FRME,FRME,"Wolverine Trading, LLC","NASDAQ","N",FRME,
"FIRST MIDWEST BNCP",FEB,FMBI,FMBI,"Wolverine Trading, LLC","NASDAQ","N",FMBI,
"FIRST NIAGARA FINL",JAN,FNFG,FNFG,"Group One Trading, L.P.","NASDAQ","N",FNFG,
"FIRST POTOMAC RTY TR",JAN,FPO,FPO,"Citadel Securities LLC","NYSE","N",FPO,
"FIRST REPUBLIC BANK",FEB,FRC,FRC,"Susquehanna Securities","NYSE","N",FRC,
